contrast	sign	cluster_index	pvalue	cluster_statistic	significant_p_lt_0_05	time_start_ms	time_end_ms	n_channel_time_samples	n_channels	channels	peak_t	peak_channel	peak_time_ms	pvalue_display	significant_within_contrast_0_05	significant_across_three_contrasts_0_016667
Memorize_minus_Ignore	positive	1	0.015869140625	828.642635791663	1	440	552	302	50	FP1,FPZ,FP2,AF7,AF3,AFZ,AF4,AF8,F9,F7,F5,F3,F1,FZ,F2,F4,F6,F8,F10,FT9,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,FT8,T7,C5,C3,C1,CZ,C2,CP5,CP3,CP1,CPZ,CP2,CP4,P5,P3,P1,PZ,P2,P4,PO3,POZ,O1	4.27474221540843	AF3	504	0.015869	1	1
Memorize_minus_Ignore	positive	2	0.0177001953125	809.509742202089	1	176	272	259	36	FP1,FPZ,FP2,AF7,AF3,AFZ,AF4,AF8,F9,F7,F5,F3,F1,FZ,F2,F4,F6,F8,F10,FT9,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,C5,C3,C1,CZ,C2,CP1,CPZ,CP2	5.65259511587056	AFZ	216	0.017700	1	0
Memorize_minus_Ignore	positive	3	0.781494140625	55.7612445658782	0	296	312	21	9	CPZ,CP2,CP4,P1,PZ,P2,P4,POZ,PO4	3.5478639123398	POZ	296	0.781494	0	0
Memorize_minus_Ignore	positive	4	0.9466552734375	23.6144950515846	0	568	576	9	6	P7,P5,P3,PO7,PO3,O1	2.99927786041658	O1	576	0.946655	0	0
Memorize_minus_Ignore	positive	5	0.958251953125	20.9222098477199	0	960	968	8	6	F2,F4,F6,FC2,FC4,FC6	2.9192922731069	F4	960	0.958252	0	0
Memorize_minus_Ignore	positive	6	0.9853515625	12.6985756903356	0	64	64	4	4	P7,P5,PO9,PO7	3.38510271375527	P7	64	0.985352	0	0
Memorize_minus_Ignore	positive	7	0.98583984375	12.4374399140595	0	64	64	5	5	P6,P8,PO4,PO8,PO10	2.79872446679516	PO10	64	0.985840	0	0
Memorize_minus_Ignore	negative	1	0.0003662109375	-1440.49396549161	1	632	760	477	66	OZ,O2,FP1,FPZ,FP2,AF7,AF3,AFZ,AF4,AF8,F9,F7,F5,F3,F1,FZ,F2,F4,F6,F8,F10,FT9,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,FT8,FT10,T7,C5,C3,C1,CZ,C2,C4,C6,T8,TP9,TP7,CP5,CP3,CP1,CPZ,CP2,CP4,CP6,TP8,TP10,P7,P5,P3,P1,PZ,P2,P4,P6,P8,PO7,PO3,POZ,PO8,O1	-6.18995953527175	F9	704	0.000366	1	1
Memorize_minus_Ignore	negative	2	0.031005859375	-681.522481989884	1	96	136	214	57	AF3,F7,F5,F3,F1,FZ,F2,F8,F10,FT9,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,FT8,FT10,T7,C5,C3,C1,CZ,C2,C4,C6,T8,TP9,TP7,CP5,CP3,CP1,CPZ,CP2,CP4,CP6,TP8,TP10,P7,P5,P3,P1,PZ,P2,P4,P6,P8,PO9,PO7,PO3,POZ,PO4,PO8,PO10,O1	-5.08784188788579	CP2	112	0.031006	1	0
Memorize_minus_Ignore	negative	3	0.039306640625	-626.825875924295	1	360	424	200	43	FP1,FPZ,FP2,AF7,AF3,AFZ,AF4,AF8,F9,F7,F5,F3,F1,FZ,F2,F4,F6,F8,F10,FT9,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,FT8,FT10,T7,C5,C3,C1,CZ,C2,C4,C6,T8,CPZ,CP2,CP4,P4	-6.0880458967862	FPZ	400	0.039307	1	0
Memorize_minus_Ignore	negative	4	0.26220703125	-217.009331944205	0	0	32	74	29	OZ,O2,FC2,FC4,C1,CZ,C2,C4,CP5,CP3,CP1,CPZ,CP2,P7,P5,P3,P1,PZ,P2,P4,P8,PO9,PO7,PO3,POZ,PO4,PO8,PO10,O1	-5.17597806148759	PO8	24	0.262207	0	0
Memorize_minus_Ignore	negative	5	0.934814453125	-26.5943624964112	0	808	808	11	11	T7,C5,C3,TP7,CP5,CP3,CP1,P7,P5,P3,P1	-2.86393457026373	TP7	808	0.934814	0	0
Memorize_minus_Ignore	negative	6	0.972900390625	-17.3658164485853	0	192	200	6	3	P8,PO8,PO10	-3.99228141038655	PO8	200	0.972900	0	0
Memorize_minus_Ignore	negative	7	0.9813232421875	-14.8484475873249	0	616	616	5	5	AF4,F4,F6,F8,F10	-3.47820242747177	F8	616	0.981323	0	0
Memorize_minus_Ignore	negative	8	0.99560546875	-7.64433959177808	0	808	808	3	3	P8,PO8,PO10	-2.70343459273591	PO10	808	0.995605	0	0
Memorize_minus_Ignore	negative	9	0.99609375	-7.51295619115004	0	336	336	3	3	F9,F7,F5	-2.73084756287716	F7	336	0.996094	0	0
Memorize_minus_Ignore	negative	10	0.9969482421875	-7.23352138220881	0	264	264	3	3	P8,PO8,PO10	-2.5445689408241	P8	264	0.996948	0	0
Probe_minus_Memorize	positive	1	0	4583.58090599925	1	360	664	1335	69	OZ,O2,FP1,FPZ,FP2,AF7,AF3,AFZ,AF4,AF8,F9,F7,F5,F3,F1,FZ,F2,F4,F6,F8,F10,FT9,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,FT8,FT10,T7,C5,C3,C1,CZ,C2,C4,C6,T8,TP9,TP7,CP5,CP3,CP1,CPZ,CP2,CP4,CP6,TP8,TP10,P7,P5,P3,P1,PZ,P2,P4,P6,P8,PO9,PO7,PO3,POZ,PO4,PO8,PO10,O1	8.09677338709225	PO4	616	< 0.000122	1	1
Probe_minus_Memorize	positive	2	0.193359375	267.364738289871	0	120	128	87	47	FP1,FPZ,FP2,AF7,AF3,AFZ,AF4,AF8,F9,F7,F5,F3,F1,FZ,F2,F4,F6,F8,F10,FT9,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,FT8,FT10,T7,C5,C3,C1,C2,C4,T8,CP5,CP3,CP1,CPZ,CP2,CP4,P3,P1,PZ,P2	4.55753525237105	FT7	128	0.193359	0	0
Probe_minus_Memorize	positive	3	0.7034912109375	51.3012628864337	0	688	712	19	6	P4,P6,P8,PO4,PO8,PO10	3.74403396651385	PO4	704	0.703491	0	0
Probe_minus_Memorize	positive	4	0.98046875	6.66776022793049	0	696	696	3	3	P7,PO9,PO7	2.30253140515509	PO9	696	0.980469	0	0
