contrast	contrast_label	channel	selection	selected_time_ms	condition	time_ms	mean_uv	sem_uv
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-200	-0.292221661370534	0.103889608017252
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-192	-0.178377210807342	0.1254798496955
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-184	-0.0590443750485205	0.167274321604938
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-176	-0.178568227395702	0.127454134175669
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-168	-0.215977801153293	0.151838655050266
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-160	-0.28118146597766	0.182595262794926
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-152	-0.361804826543308	0.167202916054162
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-144	-0.470466039501704	0.158476004678162
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-136	-0.492472831446391	0.163988414128777
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-128	-0.280489984613199	0.211164099750916
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-120	-0.257310611124222	0.196545573376623
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-112	-0.481064697441	0.161967792855649
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-104	-0.498345997471076	0.32894060051775
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-96	-0.448725690635351	0.296021584972442
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-88	-0.343788973700542	0.162040740071634
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-80	-0.0660465336762942	0.168371017695476
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-72	0.0293608604070659	0.190242813661013
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-64	0.126671353784891	0.198969622980347
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-56	0.457362155501659	0.219003602106288
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-48	0.565166111175831	0.217932858416078
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-40	0.583763827498142	0.168179387938636
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-32	0.834034018791639	0.266771752963103
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-24	0.777385962124054	0.266383890873158
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-16	0.520586298921934	0.179117861415025
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	-8	0.511350602484666	0.229255145621736
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	0	0.500205698208167	0.251127140372498
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	8	0.401555593197162	0.263841433671346
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	16	0.235472703639131	0.24024420979957
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	24	0.0165646938750377	0.235809652457199
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	32	0.0978486469158759	0.251024366875803
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	40	-0.0718070196990783	0.228270158725609
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	48	-0.51765236717004	0.266818070644898
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	56	-0.375612295590914	0.332486538787485
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	64	-0.478079642527379	0.297440694188085
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	72	-1.07433010408512	0.327743919134597
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	80	-1.27871282627949	0.450254106941439
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	88	-1.47665106963653	0.483628404167811
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	96	-1.80213136856373	0.494436857610987
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	104	-1.7370140586908	0.597172356397693
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	112	-1.22360797570302	0.773803284270834
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	120	-0.454752293916849	0.778149388598979
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	128	0.448080234802686	0.646348571571131
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	136	1.44893649220467	0.620631136705314
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	144	2.23341480355996	0.566084497582389
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	152	2.57086814366854	0.448455841604935
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	160	2.81157881938494	0.418129832466501
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	168	2.92326544798338	0.4240539759761
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	176	2.76838927085583	0.486627877849584
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	184	2.72732669115067	0.474837762877276
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	192	2.62195563774842	0.457429303844087
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	200	2.25623480402506	0.475857983448748
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	208	1.95457777151695	0.48631975099898
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	216	1.95915831969335	0.491831142900492
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	224	1.88236982088823	0.512548367358291
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	232	1.59042293693011	0.506587768546481
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	240	1.4920839369297	0.424124380196476
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	248	1.45069804694504	0.416981503972017
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	256	1.18873588396953	0.400834293813347
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	264	0.917492472781585	0.379102371217162
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	272	0.597240652029331	0.365109790517457
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	280	0.254152735265402	0.375207841034224
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	288	0.219330306236561	0.408587507077557
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	296	0.176699001055497	0.416433872716152
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	304	0.100371053585639	0.466784782984875
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	312	0.0478660865471913	0.493106404160539
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	320	-0.110686847796807	0.481743424594566
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	328	0.0671936204800239	0.455573106986056
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	336	0.116410856063549	0.45599742455231
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	344	-0.395873426244809	0.415337634636734
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	352	-0.612844325315494	0.420995909012181
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	360	-0.556783819427857	0.327369262480093
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	368	-0.738837867975235	0.235493457737551
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	376	-1.0683838564616	0.315990751235007
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	384	-1.25133006389324	0.334914085476565
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	392	-1.14843881323647	0.280575573343684
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	400	-1.06226590275764	0.307295442154221
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	408	-1.1170950623659	0.403015390354441
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	416	-1.16280486606635	0.407671487219087
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	424	-1.09929895401001	0.380119713473988
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	432	-0.973615985650283	0.367831613287553
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	440	-0.860469100567011	0.304233498898993
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	448	-0.681482952374678	0.259787146118616
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	456	-0.592071201938849	0.300513210008232
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	464	-0.599337340690769	0.32002607841008
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	472	-0.707018648202603	0.286591767481734
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	480	-0.716614041119241	0.243404424817222
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	488	-0.532537495574126	0.190882448708537
Memorize_minus_Ignore	Memorize - Ignore	F9	peak inside corrected cluster	704	Memorize	496	-0.485169917345047	0.166919973363672
