contrast	sign	cluster_index	pvalue	pvalue_display	cluster_statistic	significant_p_lt_0_05	time_start_s	time_end_s	frequency_start_hz	frequency_end_hz	n_channel_frequency_time_samples	n_channels	channels	peak_t	peak_channel	peak_frequency_hz	peak_time_s
Memorize_minus_Ignore	positive	1	0.5621337890625	0.562134	274.059234228433	0	0.24	0.28	24	30	100	33	AFZ,AF4,AF8,F1,FZ,F2,F4,F8,F10,FC1,FCZ,FC2,FC4,FT8,FT10,C3,C1,CZ,C2,C4,C6,CP3,CP1,CPZ,CP2,CP4,CP6,P5,P3,P1,PZ,P2,POZ	3.91199012301517	F8	26	0.28
Memorize_minus_Ignore	positive	2	0.917724609375	0.917725	50.4584303709344	0	0.24	0.24	20	22	19	12	OZ,CP3,P7,P5,P3,P1,PZ,PO9,PO7,PO3,POZ,O1	3.23556527985148	PO7	20	0.24
Memorize_minus_Ignore	positive	3	0.9881591796875	0.988159	11.5364838395717	0	0	0	22	22	4	4	C4,C6,CP4,CP6	3.38990214296546	C4	22	0
Memorize_minus_Ignore	positive	4	0.991455078125	0.991455	9.08612279660126	0	0.96	0.96	28	28	3	3	AFZ,F1,FZ	4.32812346517508	AFZ	28	0.96
Memorize_minus_Ignore	positive	5	0.991943359375	0.991943	7.84996390799764	0	0.04	0.04	26	26	3	3	F8,F10,FT10	2.97281526204472	F8	26	0.04
Memorize_minus_Ignore	negative	1	0.0006103515625	0.000610	-22627.7390464881	1	0	1.4	4	26	6835	69	OZ,O2,FP1,FPZ,FP2,AF7,AF3,AFZ,AF4,AF8,F9,F7,F5,F3,F1,FZ,F2,F4,F6,F8,F10,FT9,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,FT8,FT10,T7,C5,C3,C1,CZ,C2,C4,C6,T8,TP9,TP7,CP5,CP3,CP1,CPZ,CP2,CP4,CP6,TP8,TP10,P7,P5,P3,P1,PZ,P2,P4,P6,P8,PO9,PO7,PO3,POZ,PO4,PO8,PO10,O1	-7.62106100852521	CP3	8	0.4
Memorize_minus_Ignore	negative	2	0.8990478515625	0.899048	-59.2563767982928	0	1.16	1.2	18	22	22	8	F7,F5,F3,FT9,FT7,FC5,FC3,T7	-3.53331701443057	T7	18	1.2
Memorize_minus_Ignore	negative	3	0.919677734375	0.919678	-49.5571156054345	0	1.12	1.12	26	28	18	12	F7,FT9,FT7,FC5,FC3,T7,C5,C3,TP9,TP7,CP5,P7	-3.50929402452332	TP9	26	1.12
Memorize_minus_Ignore	negative	4	0.945556640625	0.945557	-37.6358130139259	0	1.16	1.2	16	18	14	8	F2,F4,FC2,FC4,FC6,C2,C4,C6	-3.31388040929809	FC4	18	1.2
Memorize_minus_Ignore	negative	5	0.9808349609375	0.980835	-16.9702450115745	0	1.2	1.2	16	18	6	3	F8,F10,FT10	-3.17367413254444	FT10	16	1.2
Memorize_minus_Ignore	negative	6	0.9814453125	0.981445	-16.6333149020515	0	1.36	1.36	28	30	6	3	FP1,AF7,AF3	-3.12643702823726	FP1	30	1.36
Memorize_minus_Ignore	negative	7	0.981689453125	0.981689	-16.5158313999203	0	1.12	1.12	22	24	6	3	T8,TP8,TP10	-3.23075224120359	TP8	22	1.12
Memorize_minus_Ignore	negative	8	0.9892578125	0.989258	-10.8295765471211	0	1.32	1.32	26	26	4	4	TP9,TP7,CP5,P7	-3.21138268896986	TP9	26	1.32
Memorize_minus_Ignore	negative	9	0.99072265625	0.990723	-9.67535645082606	0	0.76	0.76	20	20	4	4	F5,F3,FC5,FC3	-2.89494455167828	F3	20	0.76
Memorize_minus_Ignore	negative	10	0.9915771484375	0.991577	-8.28106891704412	0	0.2	0.2	28	28	3	3	FP1,AF7,AF3	-3.36983370349727	FP1	28	0.2
Memorize_minus_Ignore	negative	11	0.99169921875	0.991699	-8.04469508092433	0	0.36	0.36	20	20	3	3	F9,F7,FT9	-2.93276434688893	F7	20	0.36
Memorize_minus_Ignore	negative	12	0.991943359375	0.991943	-7.83541789369587	0	0.72	0.72	24	24	3	3	O2,PO8,PO10	-2.89044196358345	O2	24	0.72
