subject	condition	trials	original_channels	rejected_ics	interpolated_scalp_channels	output_scalp_channels	finite_fraction	reused_cache	cache_file
S01	Ignore	267	71	7	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S01_Ignore_tf_db.mat
S01	Memorize	426	71	7	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S01_Memorize_tf_db.mat
S01	Probe	91	71	7	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S01_Probe_tf_db.mat
S02	Ignore	266	69	9	1	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S02_Ignore_tf_db.mat
S02	Memorize	441	69	9	1	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S02_Memorize_tf_db.mat
S02	Probe	91	69	9	1	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S02_Probe_tf_db.mat
S03	Ignore	283	71	8	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S03_Ignore_tf_db.mat
S03	Memorize	466	71	8	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S03_Memorize_tf_db.mat
S03	Probe	94	71	8	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S03_Probe_tf_db.mat
S04	Ignore	284	71	13	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S04_Ignore_tf_db.mat
S04	Memorize	464	71	13	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S04_Memorize_tf_db.mat
S04	Probe	96	71	13	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S04_Probe_tf_db.mat
S05	Ignore	252	71	3	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S05_Ignore_tf_db.mat
S05	Memorize	430	71	3	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S05_Memorize_tf_db.mat
S05	Probe	94	71	3	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S05_Probe_tf_db.mat
S06	Ignore	264	71	2	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S06_Ignore_tf_db.mat
S06	Memorize	428	71	2	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S06_Memorize_tf_db.mat
S06	Probe	92	71	2	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S06_Probe_tf_db.mat
S07	Ignore	277	71	4	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S07_Ignore_tf_db.mat
S07	Memorize	449	71	4	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S07_Memorize_tf_db.mat
S07	Probe	92	71	4	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S07_Probe_tf_db.mat
S08	Ignore	273	71	3	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S08_Ignore_tf_db.mat
S08	Memorize	439	71	3	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S08_Memorize_tf_db.mat
S08	Probe	93	71	3	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S08_Probe_tf_db.mat
S09	Ignore	267	71	8	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S09_Ignore_tf_db.mat
S09	Memorize	435	71	8	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S09_Memorize_tf_db.mat
S09	Probe	70	71	8	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S09_Probe_tf_db.mat
S10	Ignore	204	71	7	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S10_Ignore_tf_db.mat
S10	Memorize	347	71	7	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S10_Memorize_tf_db.mat
S10	Probe	71	71	7	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S10_Probe_tf_db.mat
S11	Ignore	187	70	4	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S11_Ignore_tf_db.mat
S11	Memorize	318	70	4	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S11_Memorize_tf_db.mat
S11	Probe	66	70	4	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S11_Probe_tf_db.mat
S12	Ignore	208	71	10	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S12_Ignore_tf_db.mat
S12	Memorize	343	71	10	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S12_Memorize_tf_db.mat
S12	Probe	72	71	10	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S12_Probe_tf_db.mat
S13	Ignore	212	71	6	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S13_Ignore_tf_db.mat
S13	Memorize	358	71	6	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S13_Memorize_tf_db.mat
S13	Probe	68	71	6	0	69	1	0	/media/andraderenew/Elements/neuroimaging/eeg_erps-tf_eeglab-fieldtrip_sternberg/work/tf_subject_cache/S13_Probe_tf_db.mat
