subject	cluster_mean_Memorize_minus_Ignore_db	mean_after_removing_subject_db	change_in_group_mean_when_removed_db
S01	-1.16078174114227	-0.584863406606019	0.0443014103489426
S02	-0.853935837745667	-0.610433898555736	0.0187309183992255
S03	-0.463744819164276	-0.642949816770852	-0.0137849998158904
S04	-0.792466104030609	-0.615556376365324	0.0136084405896373
S05	-0.729503631591797	-0.620803249068558	0.00836156788640297
S06	-0.530923008918762	-0.637351634291311	-0.00818681733634996
S07	-1.0989636182785	-0.590014916844666	0.0391499001102952
S08	-0.498381018638611	-0.640063466814657	-0.0108986498596959
S09	-0.0736505463719368	-0.67545767283688	-0.0462928558819187
S10	-0.767258822917938	-0.617656983124713	0.0115078338302481
S11	-0.5501389503479	-0.635750305838883	-0.00658548888392174
S12	0.0621227435767651	-0.686772113665938	-0.0576072967109772
S13	-0.721517264842987	-0.621468779630959	0.00769603732400215
