contrast	sign	cluster_index	pvalue	pvalue_display	cluster_statistic	significant_p_lt_0_05	time_start_s	time_end_s	frequency_start_hz	frequency_end_hz	n_channel_frequency_time_samples	n_channels	channels	peak_t	peak_channel	peak_frequency_hz	peak_time_s	significant_across_two_secondary_contrasts_0_025
Probe_minus_Memorize	positive	1	0.2664794921875	0.266479	824.370623883613	0	1.04	1.4	4	4	294	44	FP1,FPZ,FP2,AF7,AF3,AFZ,AF4,AF8,F7,F5,F3,F1,FZ,F2,F4,F6,F8,F10,FT9,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,FT8,T7,C5,C3,C1,CZ,C2,C4,C6,TP9,TP7,CP5,CP3,CP6,TP8,TP10,P5	4.32530187374796	FP1	4	1.24	0
Probe_minus_Memorize	positive	2	0.297119140625	0.297119	713.018688258403	0	0.32	0.88	4	4	252	28	F3,F1,FZ,F2,F4,FC3,FC1,FCZ,FC2,FC4,C5,C3,C1,CZ,C2,TP9,TP7,CP5,CP3,CP1,P7,P5,P3,P1,PO9,PO7,PO3,O1	4.58620514112854	P7	4	0.64	0
Probe_minus_Memorize	positive	3	0.6114501953125	0.611450	198.712157628028	0	1.28	1.4	22	30	64	10	OZ,O2,P7,PO9,PO7,PO3,PO4,PO8,PO10,O1	4.33855203084392	PO9	26	1.28	0
Probe_minus_Memorize	positive	4	0.6363525390625	0.636353	179.656283971295	0	1.28	1.4	16	20	67	16	FP1,FPZ,FP2,AF7,AF3,AF4,AF8,F7,F5,F3,F1,F6,F8,FC5,FC3,FC1	4.64887809581803	F5	18	1.32	0
Probe_minus_Memorize	positive	5	0.7244873046875	0.724487	125.838153489385	0	0.12	0.48	4	4	38	4	F8,F10,FT8,FT10	5.1600609335616	F10	4	0.28	0
Probe_minus_Memorize	positive	6	0.788330078125	0.788330	91.4419824173927	0	1.28	1.4	14	18	32	7	OZ,O2,PO9,PO7,PO8,PO10,O1	4.05973610973963	PO9	18	1.36	0
Probe_minus_Memorize	positive	7	0.867431640625	0.867432	57.8347737669701	0	0.4	0.52	4	4	24	8	CP4,CP6,TP8,P4,P6,P8,PO8,PO10	2.83339955957916	P8	4	0.48	0
Probe_minus_Memorize	positive	8	0.9483642578125	0.948364	24.7701651486086	0	1.16	1.16	24	26	10	7	OZ,O2,PO9,PO7,PO8,PO10,O1	3.10519958162219	O2	24	1.16	0
Probe_minus_Memorize	positive	9	0.982177734375	0.982178	9.25045840935316	0	1.36	1.36	14	14	3	3	T8,TP8,TP10	4.43984543889285	TP10	14	1.36	0
Probe_minus_Memorize	positive	10	0.9857177734375	0.985718	7.69084197784133	0	1.08	1.08	20	20	3	3	AF4,F2,F4	2.75880921556581	AF4	20	1.08	0
Probe_minus_Memorize	negative	1	0	< 0.000122	-72484.613907209	1	0	1.4	6	30	15645	69	OZ,O2,FP1,FPZ,FP2,AF7,AF3,AFZ,AF4,AF8,F9,F7,F5,F3,F1,FZ,F2,F4,F6,F8,F10,FT9,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,FT8,FT10,T7,C5,C3,C1,CZ,C2,C4,C6,T8,TP9,TP7,CP5,CP3,CP1,CPZ,CP2,CP4,CP6,TP8,TP10,P7,P5,P3,P1,PZ,P2,P4,P6,P8,PO9,PO7,PO3,POZ,PO4,PO8,PO10,O1	-14.1747431014151	CP4	10	0.64	1
Probe_minus_Memorize	negative	2	0.966796875	0.966797	-17.1373046793095	0	1.24	1.24	24	24	6	6	C4,C6,CP4,CP6,P4,P6	-4.42066359769257	CP6	24	1.24	0
Probe_minus_Memorize	negative	3	0.96728515625	0.967285	-16.7959417848323	0	0	0	30	30	7	7	O2,P2,P4,P8,PO4,PO8,PO10	-2.87793749571723	P8	30	0	0
Probe_minus_Memorize	negative	4	0.9764404296875	0.976440	-11.2315547155756	0	1.2	1.2	22	22	4	4	CP6,TP8,P6,P8	-3.27326807512234	CP6	22	1.2	0
Probe_minus_Ignore	positive	1	0.237548828125	0.237549	811.186073160166	0	1.04	1.4	4	4	274	36	FP1,FPZ,FP2,AF7,AF3,AFZ,AF4,AF8,F9,F7,F5,F3,F1,FZ,F2,F4,F6,F8,F10,FT9,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,T7,C5,C3,C1,CZ,C2,TP7,CP5	7.15094357875583	FP1	4	1.16	0
