contrast	frequency_hz	time_s	cluster_member_channel_count
Memorize_minus_Ignore	4	0	13
Memorize_minus_Ignore	6	0	0
Memorize_minus_Ignore	8	0	0
Memorize_minus_Ignore	10	0	0
Memorize_minus_Ignore	12	0	0
Memorize_minus_Ignore	14	0	0
Memorize_minus_Ignore	16	0	0
Memorize_minus_Ignore	18	0	0
Memorize_minus_Ignore	20	0	0
Memorize_minus_Ignore	22	0	0
Memorize_minus_Ignore	24	0	0
Memorize_minus_Ignore	26	0	0
Memorize_minus_Ignore	28	0	0
Memorize_minus_Ignore	30	0	0
Memorize_minus_Ignore	4	0.04	17
Memorize_minus_Ignore	6	0.04	0
Memorize_minus_Ignore	8	0.04	0
Memorize_minus_Ignore	10	0.04	0
Memorize_minus_Ignore	12	0.04	0
Memorize_minus_Ignore	14	0.04	0
Memorize_minus_Ignore	16	0.04	0
Memorize_minus_Ignore	18	0.04	0
Memorize_minus_Ignore	20	0.04	0
Memorize_minus_Ignore	22	0.04	0
Memorize_minus_Ignore	24	0.04	0
Memorize_minus_Ignore	26	0.04	0
Memorize_minus_Ignore	28	0.04	0
Memorize_minus_Ignore	30	0.04	0
Memorize_minus_Ignore	4	0.0800000000000001	19
Memorize_minus_Ignore	6	0.0800000000000001	0
Memorize_minus_Ignore	8	0.0800000000000001	0
Memorize_minus_Ignore	10	0.0800000000000001	0
Memorize_minus_Ignore	12	0.0800000000000001	0
Memorize_minus_Ignore	14	0.0800000000000001	0
Memorize_minus_Ignore	16	0.0800000000000001	0
Memorize_minus_Ignore	18	0.0800000000000001	0
Memorize_minus_Ignore	20	0.0800000000000001	0
Memorize_minus_Ignore	22	0.0800000000000001	0
Memorize_minus_Ignore	24	0.0800000000000001	0
Memorize_minus_Ignore	26	0.0800000000000001	0
Memorize_minus_Ignore	28	0.0800000000000001	0
Memorize_minus_Ignore	30	0.0800000000000001	0
Memorize_minus_Ignore	4	0.12	17
Memorize_minus_Ignore	6	0.12	0
Memorize_minus_Ignore	8	0.12	0
Memorize_minus_Ignore	10	0.12	0
Memorize_minus_Ignore	12	0.12	0
Memorize_minus_Ignore	14	0.12	0
Memorize_minus_Ignore	16	0.12	0
Memorize_minus_Ignore	18	0.12	0
Memorize_minus_Ignore	20	0.12	0
Memorize_minus_Ignore	22	0.12	0
Memorize_minus_Ignore	24	0.12	0
Memorize_minus_Ignore	26	0.12	0
Memorize_minus_Ignore	28	0.12	0
Memorize_minus_Ignore	30	0.12	0
Memorize_minus_Ignore	4	0.16	15
Memorize_minus_Ignore	6	0.16	0
Memorize_minus_Ignore	8	0.16	0
Memorize_minus_Ignore	10	0.16	0
Memorize_minus_Ignore	12	0.16	0
Memorize_minus_Ignore	14	0.16	0
Memorize_minus_Ignore	16	0.16	0
Memorize_minus_Ignore	18	0.16	0
Memorize_minus_Ignore	20	0.16	0
Memorize_minus_Ignore	22	0.16	0
Memorize_minus_Ignore	24	0.16	0
Memorize_minus_Ignore	26	0.16	0
Memorize_minus_Ignore	28	0.16	0
Memorize_minus_Ignore	30	0.16	0
Memorize_minus_Ignore	4	0.2	14
Memorize_minus_Ignore	6	0.2	3
Memorize_minus_Ignore	8	0.2	0
Memorize_minus_Ignore	10	0.2	8
Memorize_minus_Ignore	12	0.2	0
Memorize_minus_Ignore	14	0.2	0
Memorize_minus_Ignore	16	0.2	0
Memorize_minus_Ignore	18	0.2	0
Memorize_minus_Ignore	20	0.2	0
Memorize_minus_Ignore	22	0.2	0
Memorize_minus_Ignore	24	0.2	0
Memorize_minus_Ignore	26	0.2	0
Memorize_minus_Ignore	28	0.2	0
Memorize_minus_Ignore	30	0.2	0
Memorize_minus_Ignore	4	0.24	12
Memorize_minus_Ignore	6	0.24	9
Memorize_minus_Ignore	8	0.24	20
Memorize_minus_Ignore	10	0.24	28
Memorize_minus_Ignore	12	0.24	14
Memorize_minus_Ignore	14	0.24	0
Memorize_minus_Ignore	16	0.24	0
Memorize_minus_Ignore	18	0.24	0
Memorize_minus_Ignore	20	0.24	0
Memorize_minus_Ignore	22	0.24	0
Memorize_minus_Ignore	24	0.24	0
Memorize_minus_Ignore	26	0.24	0
Memorize_minus_Ignore	28	0.24	0
Memorize_minus_Ignore	30	0.24	0
Memorize_minus_Ignore	4	0.28	14
Memorize_minus_Ignore	6	0.28	17
Memorize_minus_Ignore	8	0.28	33
Memorize_minus_Ignore	10	0.28	34
Memorize_minus_Ignore	12	0.28	22
Memorize_minus_Ignore	14	0.28	11
Memorize_minus_Ignore	16	0.28	0
Memorize_minus_Ignore	18	0.28	0
Memorize_minus_Ignore	20	0.28	0
Memorize_minus_Ignore	22	0.28	0
Memorize_minus_Ignore	24	0.28	0
Memorize_minus_Ignore	26	0.28	0
Memorize_minus_Ignore	28	0.28	0
Memorize_minus_Ignore	30	0.28	0
Memorize_minus_Ignore	4	0.32	18
Memorize_minus_Ignore	6	0.32	21
Memorize_minus_Ignore	8	0.32	41
Memorize_minus_Ignore	10	0.32	35
Memorize_minus_Ignore	12	0.32	27
Memorize_minus_Ignore	14	0.32	15
Memorize_minus_Ignore	16	0.32	3
Memorize_minus_Ignore	18	0.32	0
Memorize_minus_Ignore	20	0.32	0
Memorize_minus_Ignore	22	0.32	0
Memorize_minus_Ignore	24	0.32	0
Memorize_minus_Ignore	26	0.32	0
Memorize_minus_Ignore	28	0.32	0
Memorize_minus_Ignore	30	0.32	0
Memorize_minus_Ignore	4	0.36	21
Memorize_minus_Ignore	6	0.36	27
