contrast	contrast_pretty	channel	frequency_hz	time_s	difference_db	in_corrected_cluster
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0	-0.323776196079472	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0	-0.160484682804403	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0	-0.112967175933031	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0	-0.0769993697937865	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0	-0.0105913102698441	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0	0.0276188262953208	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0	0.106867441768722	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0	0.131382757645602	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0	0.170224084017368	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0	0.170269089034544	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0	0.122222667595801	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0	0.0583345035377603	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0	-0.00982846240871228	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0	-0.0296471736465509	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.04	-0.366200468431299	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.04	-0.192005643191246	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.04	-0.0767718981951475	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.04	-0.0532548095529469	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.04	-0.00117502633768779	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.04	0.050151936065119	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.04	0.129434156316655	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.04	0.102557002351834	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.04	0.0090330270692133	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.04	-0.0566526702963389	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.04	-0.0671289606163135	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.04	-0.0548303665306706	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.04	-0.0533900859837349	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.04	-0.0640518749849154	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.0800000000000001	-0.406387089680021	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.0800000000000001	-0.196935731434048	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.0800000000000001	-0.0726790559263183	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.0800000000000001	-0.0902266022391044	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.0800000000000001	0.0119537713024049	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.0800000000000001	0.139781812635752	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.0800000000000001	0.232514691610749	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.0800000000000001	0.117870769248559	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.0800000000000001	-0.0392136963514181	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.0800000000000001	-0.106957347060625	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.0800000000000001	-0.0688070674570134	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.0800000000000001	-0.013518230129893	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.0800000000000001	0.0138214489874931	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.0800000000000001	-0.0323646807899842	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.12	-0.447841102114091	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.12	-0.185037726805044	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.12	-0.102600281791708	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.12	-0.175302784030254	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.12	-0.0284505578187796	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.12	0.140234679986651	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.12	0.207160803632667	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.12	0.11179117557521	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.12	-0.00420440869549146	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.12	-0.0551234076802547	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.12	-0.0183100745869944	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.12	0.0510752109380869	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.12	0.107444683519694	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.12	0.0855686200352816	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.16	-0.489588991094094	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.16	-0.178010534208554	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.16	-0.175870089146953	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.16	-0.295358716008755	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.16	-0.145808424514074	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.16	0.0173739722141853	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.16	0.102978767397312	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.16	0.0841887793861903	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.16	0.0577610146540862	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.16	0.0412068674340844	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.16	0.0515389261910549	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.16	0.104704919629372	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.16	0.139312309427903	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.16	0.148172206030442	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.2	-0.529959253823528	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.2	-0.196070296260027	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.2	-0.304649043255127	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.2	-0.447625738783525	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.2	-0.28303446004597	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.2	-0.0732352300188862	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.2	0.0746347439976839	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.2	0.112486304571995	0
