contrast	frequency_hz	time_s	sensor_average_difference_db
Memorize_minus_Ignore	4	0	-0.158195371540325
Memorize_minus_Ignore	6	0	-0.124170327492754
Memorize_minus_Ignore	8	0	-0.0114206799383586
Memorize_minus_Ignore	10	0	0.0277940053762084
Memorize_minus_Ignore	12	0	0.0586413624800909
Memorize_minus_Ignore	14	0	0.0653098924593193
Memorize_minus_Ignore	16	0	0.065618648300077
Memorize_minus_Ignore	18	0	0.0572930757173433
Memorize_minus_Ignore	20	0	0.102987005989694
Memorize_minus_Ignore	22	0	0.133018135278353
Memorize_minus_Ignore	24	0	0.120916043878029
Memorize_minus_Ignore	26	0	0.092792281213434
Memorize_minus_Ignore	28	0	0.0708225567869849
Memorize_minus_Ignore	30	0	0.08050291737847
Memorize_minus_Ignore	4	0.04	-0.178916297696929
Memorize_minus_Ignore	6	0.04	-0.140364750760178
Memorize_minus_Ignore	8	0.04	-0.0254439330379995
Memorize_minus_Ignore	10	0.04	0.00656095804392756
Memorize_minus_Ignore	12	0.04	0.0174349064580701
Memorize_minus_Ignore	14	0.04	0.00705958786362122
Memorize_minus_Ignore	16	0.04	0.0305278043037747
Memorize_minus_Ignore	18	0.04	0.0197602965557011
Memorize_minus_Ignore	20	0.04	0.0148532378188529
Memorize_minus_Ignore	22	0.04	0.0219170659848768
Memorize_minus_Ignore	24	0.04	0.0388106837436481
Memorize_minus_Ignore	26	0.04	0.0562544198065748
Memorize_minus_Ignore	28	0.04	0.0676361651003045
Memorize_minus_Ignore	30	0.04	0.0631999415158927
Memorize_minus_Ignore	4	0.0800000000000001	-0.202819199414668
Memorize_minus_Ignore	6	0.0800000000000001	-0.148587194522159
Memorize_minus_Ignore	8	0.0800000000000001	-0.054253248992836
Memorize_minus_Ignore	10	0.0800000000000001	-0.0444645004453648
Memorize_minus_Ignore	12	0.0800000000000001	-0.0283662368284192
Memorize_minus_Ignore	14	0.0800000000000001	-0.0436768808589641
Memorize_minus_Ignore	16	0.0800000000000001	-0.00698321119065847
Memorize_minus_Ignore	18	0.0800000000000001	-0.0261404399929175
Memorize_minus_Ignore	20	0.0800000000000001	-0.0239138322991177
Memorize_minus_Ignore	22	0.0800000000000001	0.0222973569743792
Memorize_minus_Ignore	24	0.0800000000000001	0.0868764298363732
Memorize_minus_Ignore	26	0.0800000000000001	0.108483979708324
Memorize_minus_Ignore	28	0.0800000000000001	0.0716392982726732
Memorize_minus_Ignore	30	0.0800000000000001	0.0155109595971925
Memorize_minus_Ignore	4	0.12	-0.231547789926041
Memorize_minus_Ignore	6	0.12	-0.156728947639973
Memorize_minus_Ignore	8	0.12	-0.0847428241556647
Memorize_minus_Ignore	10	0.12	-0.105321929592566
Memorize_minus_Ignore	12	0.12	-0.0621968999504654
Memorize_minus_Ignore	14	0.12	-0.0676096333975012
Memorize_minus_Ignore	16	0.12	-0.0536904134290591
Memorize_minus_Ignore	18	0.12	-0.0253841609341962
Memorize_minus_Ignore	20	0.12	-0.0273993322218238
Memorize_minus_Ignore	22	0.12	-0.0259583808012431
Memorize_minus_Ignore	24	0.12	-0.00390423519927889
Memorize_minus_Ignore	26	0.12	0.0372319572534688
Memorize_minus_Ignore	28	0.12	0.0895510871337629
Memorize_minus_Ignore	30	0.12	0.0999060176821867
Memorize_minus_Ignore	4	0.16	-0.263368117176837
Memorize_minus_Ignore	6	0.16	-0.174546987132591
Memorize_minus_Ignore	8	0.16	-0.12170248676888
Memorize_minus_Ignore	10	0.16	-0.171113606323665
Memorize_minus_Ignore	12	0.16	-0.110344320213303
Memorize_minus_Ignore	14	0.16	-0.0465963900908454
Memorize_minus_Ignore	16	0.16	-0.0325321177178404
Memorize_minus_Ignore	18	0.16	0.00600290958418848
Memorize_minus_Ignore	20	0.16	0.0239168895357117
Memorize_minus_Ignore	22	0.16	0.0239879390342722
Memorize_minus_Ignore	24	0.16	0.0217225898606837
Memorize_minus_Ignore	26	0.16	0.0455864624029058
Memorize_minus_Ignore	28	0.16	0.052244187348718
Memorize_minus_Ignore	30	0.16	0.0747654861350634
Memorize_minus_Ignore	4	0.2	-0.298086961726302
Memorize_minus_Ignore	6	0.2	-0.204262990697017
Memorize_minus_Ignore	8	0.2	-0.175998939062108
Memorize_minus_Ignore	10	0.2	-0.240723442489818
Memorize_minus_Ignore	12	0.2	-0.158338016347722
Memorize_minus_Ignore	14	0.2	-0.0124300183807375
Memorize_minus_Ignore	16	0.2	0.0609205020765526
