contrast	subject	cluster_mean_difference_db
Memorize_minus_Ignore	S01	-1.1607816509408
Memorize_minus_Ignore	S02	-0.853935561076038
Memorize_minus_Ignore	S03	-0.46374459673634
Memorize_minus_Ignore	S04	-0.792466510016286
Memorize_minus_Ignore	S05	-0.729503417153201
Memorize_minus_Ignore	S06	-0.530922984442032
Memorize_minus_Ignore	S07	-1.09896347867379
Memorize_minus_Ignore	S08	-0.498380832719939
Memorize_minus_Ignore	S09	-0.0736505322990204
Memorize_minus_Ignore	S10	-0.767258622867041
Memorize_minus_Ignore	S11	-0.550138764964944
Memorize_minus_Ignore	S12	0.0621227233103435
Memorize_minus_Ignore	S13	-0.721517339594368
Probe_minus_Memorize	S01	-2.49145718899665
Probe_minus_Memorize	S02	-1.80324881816402
Probe_minus_Memorize	S03	-1.56090799250334
Probe_minus_Memorize	S04	-0.974707363845108
Probe_minus_Memorize	S05	-1.57816789913216
Probe_minus_Memorize	S06	-0.918802007906554
Probe_minus_Memorize	S07	-2.60159435164722
Probe_minus_Memorize	S08	-0.991599570920387
Probe_minus_Memorize	S09	-1.24885652229198
Probe_minus_Memorize	S10	-2.24486558047178
Probe_minus_Memorize	S11	-1.0681904942561
Probe_minus_Memorize	S12	-2.11799059089711
Probe_minus_Memorize	S13	-2.61143375554006
Probe_minus_Ignore	S01	-3.08592485357921
Probe_minus_Ignore	S02	-2.29291336213208
Probe_minus_Ignore	S03	-1.80958538037799
Probe_minus_Ignore	S04	-1.46417788152956
Probe_minus_Ignore	S05	-1.98694202747585
Probe_minus_Ignore	S06	-1.12521295720632
Probe_minus_Ignore	S07	-3.06576175484477
Probe_minus_Ignore	S08	-1.21496559269866
Probe_minus_Ignore	S09	-1.22931497837001
Probe_minus_Ignore	S10	-2.68155957113967
Probe_minus_Ignore	S11	-1.22794492276018
Probe_minus_Ignore	S12	-1.80642170454644
Probe_minus_Ignore	S13	-2.93264501724987
